S,j,j_rel
0.0,0.46712129525196716,1.0
0.049999999999999996,0.42157696896489816,0.9024999999999953
0.09999999999999999,0.37836824915411116,0.810000000000038
0.15,0.33749513581955454,0.7225000000000177
0.19999999999999998,0.2989576289612824,0.6400000000000502
0.24999999999999997,0.2627557285792313,0.5624999999999996
0.3,0.22888943467347728,0.49000000000002863
0.35,0.19735874724393404,0.42249999999995275
0.39999999999999997,0.16816366629072138,0.36000000000002824
0.44999999999999996,0.141304191813727,0.3025000000000148
0.49999999999999994,0.11678032381299179,0.25
0.5499999999999999,0.09459206228852811,0.2025000000000102
0.6,0.0747394072403206,0.16000000000001255
0.6499999999999999,0.05722235866836898,0.12250000000000642
0.7,0.042040916572680345,0.09000000000000706
0.7499999999999999,0.02919508095324801,0.06250000000000014
0.7999999999999999,0.018684851810080248,0.040000000000003345
0.85,0.010510229143170086,0.022500000000001765
0.8999999999999999,0.00467121295252005,0.01000000000000081
0.95,0.0011678032381300125,0.0025000000000002026
